"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 13:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
