Location Description,Node Id,Sample Time,Onboard Temperature, Onboard Battery,Channel,Sensor Model,Sensor Type,Offset,Value,Units,
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 9:45,31.36,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.36,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 10:00,31.99,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.99,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 10:14,32.15,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.15,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 10:29,31.36,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.36,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 10:45,30.88,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,30.88,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 11:00,31.2,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.2,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 11:15,31.36,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.36,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 11:30,31.83,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.83,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 11:45,33.27,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,33.27,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 12:00,32.95,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.95,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 12:15,32.63,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.63,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 12:30,33.11,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,33.11,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 12:45,33.27,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,33.27,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 14:30,32.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 20:00,30.09,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,30.09,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 20:15,29.45,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.45,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 20:30,29.77,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.77,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 20:45,29.61,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.61,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 21:15,29.45,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.45,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 21:30,29.13,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.13,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 21:45,28.97,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.97,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 22:00,28.81,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.81,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 22:15,28.81,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.81,ýýc,0
